Izydor W,Izydor Oracz,Izydor Oracz,,,
Jacek,Jacek Wyznawca,Jacek Wyznawca,,,
Jacek W,Jacek Wyznawca,Jacek Wyznawca,,,
Jadwga Wd,Jadwiga Śląska,Jadwiga Śląska,,,
Jadwiga,Jadwiga,Jadwiga,,,
Jadwiga Ks,Jadwiga Śląska,Jadwiga Śląska,,,
Jadwiga Księżna,Jadwiga Śląska,Jadwiga Śląska,,,
Jadwiga Wd,Jadwiga Śląska,Jadwiga Śląska,,,
Jadwiga Wdowa,Jadwiga Śląska,Jadwiga Śląska,,,
Jakub,Jakub,Jakub,,,
Jakub Ap,Jakub Apostoł,Jakub Apostoł,,,
Jakub Mn Ap,Jakub Mniejszy Apostoł,Jakub Mniejszy Apostoł,,,
Jakub W Ap,Jakub Większy Apostoł,Jakub Większy Apostoł,,,
Jan,Jan,Jan,,,
Jan Ante Portam Latinam,Jan w Łacińskiej Bramie,Jan w Łacińskiej Bramie,,,
Jan Ap,Jan Apostoł Ewangelista,Jan Apostoł i Ewangelista,,,
Jan Ap w Oleju,Jan w Łacińskiej Bramie,Jan w Łacińskiej Bramie,,,
Jan ApEw,Jan Apostoł Ewangelista,Jan Apostoł i Ewangelista,,,
Jan Bosko,Jan Bosko,Jan Bosko,,,
Jan Boży,Jan Boży,Jan Boży,,,
Jan Ch,Jan Chrzciciel,Jan Chrzciciel,,,
Jan Ew,Jan Apostoł Ewangelista,Jan Apostoł i Ewangelista,,,
Jan i Paweł MM,Jan i Paweł Męczennicy,Jan i Paweł Męczennicy,,,
Jan Jał,Jan Jałmużnik,Jan Jałmużnik,,,
Jan N,Jan Nepomucen,Jan Nepomucen,,,
JChrKonający,Jezus Chrystus Konający,Jezus Chrystus Konający,,,
JChrUkrzyżowany,Jezus Chrystus Ukrzyżowany,Jezus Chrystus Ukrzyżowany,,,
Jerzy,Jerzy,Jerzy,,,
Jerzy M,Jerzy Męczennik,Jerzy Męczennik,,,
Joachim,Joachim,Joachim,,,
Jodok P,Jodok Pustelnik,Jodok Pustelnik,,,
Jolenta,Jolenta,Jolenta,,,
Jozafat,Jozafat Kuncewicz Biskup Męczennik,Jozafat Kuncewicz Biskup i Męczennik,,,
Jozafat BM,Jozafat Kuncewicz Biskup Męczennik,Jozafat Kuncewicz Biskup i Męczennik,,,
Jozafat BpM,Jozafat Kuncewicz Biskup Męczennik,Jozafat Kuncewicz Biskup i Męczennik,,,
Józef,Józef,Józef,,,
Józef Obl,Józef Oblubieniec Najświętszej Maryi Panny,Józef Oblubieniec Najświętszej Maryi Panny,,,
Józef OblNMP,Józef Oblubieniec Najświętszej Maryi Panny,Józef Oblubieniec Najświętszej Maryi Panny,,,
Józef Oblubieniec,Józef Oblubieniec Najświętszej Maryi Panny,Józef Oblubieniec Najświętszej Maryi Panny,,,
Józef Opiekun Najświętszej Maryi Panny,Józef Opiekun Najświętszej Maryi Panny,Józef Opiekun Najświętszej Maryi Panny,,,
Józef Opiekun NMP,Józef Opiekun Najświętszej Maryi Panny,Józef Opiekun Najświętszej Maryi Panny,,,
Józef W,Józef Oblubieniec Najświętszej Maryi Panny,Józef Oblubieniec Najświętszej Maryi Panny,,,
Juda Tadeusz Ap,Juda Tadeusz Apostoł,Juda Tadeusz Apostoł,,,
Just M,Just Męczennik,Just Męczennik,,,
Justyna PM,Justyna Panna Męczennica,Justyna Panna i Męczennica,,,
Kajetan,Kajetan,Kajetan,,,
Kajetan W,Kajetan Wyznawca,Kajetan Wyznawca,,,
Katarzyna,Katarzyna,Katarzyna,,,
Katarzyna PM,Katarzyna Panna Męczennica,Katarzyna Panna i Męczennica,,,
Kazimierz,Kazimierz,Kazimierz,,,
Kazimierz Królewicz,Kazimierz Królewicz,Kazimierz Królewicz,,,
Kilian Biskup,Kilian Biskup,Kilian Biskup,,,
Klara,Klara,Klara,,,
Klara z Asyżu,Klara z Asyżu,Klara z Asyżu,,,
Klemens M,Klemens Papież Męczennik,Klemens Papież i Męczennik,,,
Klemens Pp,Klemens Papież Męczennik,Klemens Papież i Męczennik,,,
KNMP,KNMP,KNMP,,,
Konstancja,Konstancja,Konstancja,,,
Konstanty W,Konstanty Wyznawca,Konstanty Wyznawca,,,
Kosma i Damian MM,Kosma i Damian Męczennicy,Kosma i Damian Męczennicy,,,
Krystyn M,Krystyn Męczennik,Krystyn Męczennik,,,
Krzysztof M,Krzysztof Męczennik,Krzysztof Męczennik,,,
Kunegunda Wd,Kunegunda Wdowa,Kunegunda Wdowa,,,
Kwiryn BpM,Kwiryn Biskup Męczennik,Kwiryn Biskup i Męczennik,,,
Lambert Biskup,Lambert Biskup,Lambert Biskup,,,
Lambert Bp,Lambert Biskup,Lambert Biskup,,,
Leon Pp,Leon Wielki Papież,Leon Wielki Papież,,,
Leonard O,Leonard Opat,Leonard Opat,,,
Linus PpM,Linus Papież Męczennik,Linus Papież i Męczennik,,,
Ludwik,Ludwik,Ludwik,,,
Ludwik Kr,Ludwik Król,Ludwik Król,,,
Ławrencjusz M,Ławrencjusz Męczennik,Ławrencjusz Męczennik,,,
Łazarz,Łazarz,Łazarz,,,
Łucja PM,Łucja Panna Męczennica,Łucja Panna i Męczennica,,,
Łukasz Ew,Łukasz Ewangelista,Łukasz Ewangelista,,,
Maciej Ap,Maciej Apostoł,Maciej Apostoł,,,
Maciej Bp,Maciej Apostoł,Maciej Apostoł,,,
Macierzyństwo NMP,Macierzyństwo Najświętszej Maryi Panny,Macierzyństwo Najświętszej Maryi Panny,,,
Maksymilian Kolbe,Maksymilian Maria Kolbe,Maksymilian Maria Kolbe,,,
Małgorzata PM,Małgorzata Panna Męczennica,Małgorzata Panna i Męczennica,,,
Marcin,Marcin,Marcin,,,
Marcin Biskup,Marcin Biskup,Marcin Biskup,,,
Marcin Bp,Marcin Biskup,Marcin Biskup,,,
Marek Ap,Marek Apostoł Ewangelista,Marek Apostoł i Ewangelista,,,
Marek Ew,Marek Apostoł Ewangelista,Marek Apostoł i Ewangelista,,,
Marta P,Marta Panna,Marta Panna,,,
Marta Panna,Marta Panna,Marta Panna,,,
Mateusz Ap,Mateusz Apostoł Ewangelista,Mateusz Apostoł i Ewangelista,,,
Mateusz ApEw,Mateusz Apostoł Ewangelista,Mateusz Apostoł i Ewangelista,,,
Maurycy M,Maurycy Męczennik,Maurycy Męczennik,,,
Maurycy M i Tow,Maurycy i Towarzysze Męczennicy,Maurycy i Towarzysze Męczennicy,,,
Męczeństwo Jana Ch,Męczeństwo św. Jana Chrzciciela,Męczeństwo św. Jana Chrzciciela,,,
Michał A,Michał Archanioł,Michał Archanioł,,,
Michał Ap,Michał Archanioł,Michał Archanioł,,,
Mikołaj Biskup,Mikołaj Biskup,Mikołaj Biskup,,,
Mikołaj Bp,Mikołaj Biskup,Mikołaj Biskup,,,
Mikołaj BP,Mikołaj Biskup,Mikołaj Biskup,,,
Mikołaj Bp A,Mikołaj Biskup,Mikołaj Biskup,,,
MiłBoże,Miłosierdzie Boże,Miłosierdzie Boże,,,
Najczystsze Serce NMP,Serce Najświętszej Maryi Panny,Serce Najświętszej Maryi Panny,,,
Najświętsze Serce NMP,Serce Najświętszej Maryi Panny,Serce Najświętszej Maryi Panny,,,
NarJana Ch,Jan Chrzciciel,Jan Chrzciciel,,,
NarJezusa Chrystusa,Narodzenie Jezusa Chrystusa,Narodzenie Jezusa Chrystusa,,,
NarNMP,Narodzenie Najświętszej Maryi Panny,Narodzenie Najświętszej Maryi Panny,,,
NarPańskie,Narodzenie Pańskie,Narodzenie Pańskie,,,
NawNMP,Nawiedzenie Najświętszej Maryi Panny,Nawiedzenie Najświętszej Maryi Panny,,,
